Generation,Nearest Pill,Random,Random NonRev,Starter Pacman
0,2810,192,1025,4460
1,8990,264,1594,46624
2,3217,220,1307,7278
3,3836,262,2031,38364
4,3514,262,1572,7317
5,4084,328,2117,50700
6,3347,203,1464,6841
7,7296,214,1700,20947
8,2957,202,1527,6646
9,3699,262,1613,6986
10,2187,217,1206,6642
11,4102,171,982,7828
12,2315,191,1382,4996
13,3525,217,1345,7409
14,4151,220,1559,5554
15,3204,219,1613,4865
16,3362,186,988,7247
17,2626,194,1078,4379
18,8039,212,2126,49849
19,3388,200,1373,5978
20,2497,223,1829,4336
21,3452,176,1348,5640
22,3670,169,1216,6744
23,2943,198,1519,5789
24,3162,187,1271,6297
25,2317,196,1050,5392
26,2928,224,1240,5292
27,3842,230,1332,4505
28,3125,231,1448,5170
29,3685,215,1520,5698
30,4259,207,1453,5510
31,3909,178,1686,6044
32,2798,195,1359,6181
33,4882,200,1365,4106
34,2779,212,1428,4098
35,3340,221,1515,5557
36,3165,219,1698,5725
37,2673,190,1413,4415
38,3866,205,1435,7168
39,6613,259,1509,6417
40,3496,154,1377,6935
41,3177,268,1347,7506
42,2415,177,1230,5828
43,2644,176,1528,7217
44,2855,244,1237,5318
45,2869,228,1923,5226
46,3545,159,1340,5891
47,4460,174,1231,5594
48,3593,233,1276,5065
49,3299,197,1083,5724
50,3557,201,1112,5122
51,2880,171,1200,4241
52,4148,241,1273,20849
53,3090,185,1627,4986
54,2682,190,1166,6247
55,3429,210,1623,4870
56,3320,267,1400,6451
57,2708,173,1269,7079
58,2500,190,1531,6125
59,2406,236,1247,6643
60,3256,174,1534,7359
61,2835,230,1078,6631
62,2299,168,1505,6027
63,4020,216,1536,5928
64,3564,215,1357,6715
65,3499,193,1236,7321
66,2809,185,1344,5149
67,3556,273,1343,4377
68,3312,233,1427,6477
69,3084,259,1643,17602
70,3117,263,1487,5678
71,3412,173,1521,5416
72,2858,195,1092,4800
73,4082,185,1159,8589
74,3937,213,1105,3741
75,3376,221,1179,5711
76,2151,197,927,7483
77,3589,312,1611,6103
78,2278,198,1446,7275
79,2736,214,1323,3363
80,3314,227,1421,3664
81,3245,220,848,5208
82,4376,209,1276,5829
83,3932,215,1731,4684
84,3669,181,1744,4575
85,2781,191,1376,5980
86,3319,241,1576,4658
87,2737,202,1292,4857
88,2781,323,1497,5190
89,2799,240,2135,4547
90,3230,208,1133,5564
91,3191,175,1593,4795
92,2467,150,1323,7081
93,2320,197,1164,6514
94,3569,192,1419,4525
95,2689,227,1719,5367
96,3904,172,1175,5878
97,2652,172,1716,5893
98,2790,177,1582,4421
99,2961,189,985,5457
