Generation,Aggressive,Legacy,Legacy2,Random,Starter
0,1506,514,816,784,721
1,2154,2078,2150,3818,2178
2,853,857,1032,1845,895
3,1489,1162,498,1594,650
4,1788,927,1221,2020,1496
5,831,1015,564,1575,904
6,1460,1808,1337,2182,1178
7,2061,2480,1867,3346,2006
8,2008,2381,1542,3331,1742
9,1527,2045,3106,2383,2235
10,1977,2186,1564,2005,1557
11,2506,2434,2007,3777,2322
12,2754,1498,769,1938,697
13,2470,2365,1881,3083,1780
14,2456,2278,2066,2123,1518
15,1969,2108,1844,2473,1760
16,1705,1873,1788,2540,1767
17,2545,2429,1988,3974,1739
18,2326,2096,1327,2464,1346
19,2183,1989,1616,3367,1910
20,2829,2038,2138,2879,2018
21,2436,2115,1978,3474,2163
22,2286,2159,1491,2856,1883
23,2688,2531,2100,2687,1909
24,2225,1884,1777,3038,1666
25,1906,2182,1664,2686,1708
26,2424,2137,1959,2947,1824
27,1372,1596,965,3105,1002
28,2550,2096,2081,3370,2040
29,2338,2024,2212,3765,1771
30,2873,2799,1980,3386,2101
31,1891,2238,1771,3143,1924
32,1836,1239,475,1319,858
33,2704,2650,1923,3367,2204
34,2670,2552,2419,3527,2181
35,2248,3181,1959,3785,1620
36,2083,1942,1530,3360,1849
37,2482,2379,2237,3105,2093
38,2243,2322,2394,3306,2117
39,1900,2081,1644,2164,1727
40,2494,2363,2298,3103,2069
41,2415,2119,1868,3377,2205
42,2557,2134,1803,3457,2132
43,2592,2773,2530,3077,2574
44,2269,2462,1967,3584,1869
45,2497,2587,1912,3856,1997
46,2567,1961,1971,2581,1969
47,2498,2875,2159,4051,2130
48,2962,2089,2213,4582,2155
49,2759,2425,2573,4031,2110
50,2080,2204,2159,3414,1958
51,2640,2515,2488,3650,2297
52,2445,3231,1994,4132,2091
53,2426,1891,1927,2756,1739
54,2179,1971,2350,3365,2231
55,2822,2621,1412,2884,2565
56,2521,2309,2794,3040,2080
57,2423,2167,2086,3341,2205
58,2634,1624,1570,2800,1473
59,2650,2178,2097,3690,1908
60,2102,2270,2186,3760,2102
61,2387,2295,2052,3511,1999
62,2154,2106,2015,3297,2145
63,2363,2171,2067,3801,2074
64,2467,2354,2663,3699,2141
65,2526,2545,2271,3219,2170
66,2865,2121,1887,3227,2001
67,2795,2600,2524,3636,1864
68,2225,2476,2167,3636,1971
69,2469,2318,1921,3761,2083
70,2298,2328,2222,3327,2076
71,2786,2792,2004,3301,2195
72,2457,2288,1742,3189,1485
73,2992,2281,2015,3366,2005
74,2860,2336,2131,3607,2100
75,2368,883,179,1203,275
76,2219,2209,2055,2889,1683
77,2630,2007,2390,3770,1936
78,1899,1751,1862,3692,2030
79,2526,2644,1536,3498,2402
80,2127,2119,2078,3866,2024
81,2154,2379,2130,3986,2042
82,2357,2407,2416,4013,1896
83,2213,1859,1900,2608,1871
84,2848,2348,1468,1435,2022
85,3031,2444,2428,3769,1992
86,1743,1839,1849,2452,1931
87,2487,2321,1980,3939,1946
88,3008,2698,2504,3887,2339
89,2513,2728,2814,3202,2172
90,2325,1945,2403,3519,2214
91,2626,2235,2722,3114,2065
92,2373,2938,2676,2847,1909
93,2414,2425,1659,4601,2080
94,1565,1828,1993,2970,1243
95,2471,2581,2201,4022,2204
96,3357,2865,2719,3299,2085
97,2633,2101,2822,3758,1854
98,2306,2748,1746,6020,2068
99,2538,2620,2253,3678,1791
